card_id	card_type	entity_id	title	summary	evidence	threshold	method	core	taxon	module	relation_type	score	observed_status	source_tables	source_taxon	target_node
module::diffpool_M15	module	diffpool:M15	DiffPool consensus module M15	DiffPool consensus module M15 contains 273 taxa; top functional group Virus_modulator (87); Core_heterotrophy (70); Nitrification_AOA (27); top ecological role Pelagic_heterotroph (121); Modulator (87); Nitrifier (32).	Consensus assignments from /src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/tables/diffpool_consensus_modules.tsv merged with functional annotations from data/reference/prokaryote_function_assigned.tsv.	prev_5	pearson			M15			learned	"[""/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/tables/diffpool_consensus_modules.tsv"",""data/reference/prokaryote_function_assigned.tsv""]"		
module::diffpool_M7	module	diffpool:M7	DiffPool consensus module M7	DiffPool consensus module M7 contains 1 taxa; top functional group Core_heterotrophy (1); top ecological role Pelagic_heterotroph (1).	Consensus assignments from /src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/tables/diffpool_consensus_modules.tsv merged with functional annotations from data/reference/prokaryote_function_assigned.tsv.	prev_5	pearson			M7			learned	"[""/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/tables/diffpool_consensus_modules.tsv"",""data/reference/prokaryote_function_assigned.tsv""]"		
module::vgae_M1	module	vgae:M1	VGAE module M1	VGAE module M1 contains 141 taxa; top functional group Virus_modulator (48); Core_heterotrophy (36); Pelagic_heterotroph (14); top ecological role Pelagic_heterotroph (66); Modulator (48); Nitrifier (11).	Module assignments from /src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/tables/vgae_taxon_modules.tsv merged with functional annotations from data/reference/prokaryote_function_assigned.tsv.	prev_5	pearson			M1			learned	"[""/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/tables/vgae_taxon_modules.tsv"",""data/reference/prokaryote_function_assigned.tsv""]"		
module::vgae_M2	module	vgae:M2	VGAE module M2	VGAE module M2 contains 133 taxa; top functional group Virus_modulator (39); Core_heterotrophy (35); Nitrification_AOA (16); top ecological role Pelagic_heterotroph (56); Modulator (39); Nitrifier (21).	Module assignments from /src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/tables/vgae_taxon_modules.tsv merged with functional annotations from data/reference/prokaryote_function_assigned.tsv.	prev_5	pearson			M2			learned	"[""/src/results/ngraph/abundance_thresholding/deep_modules/prev_5/pearson/tables/vgae_taxon_modules.tsv"",""data/reference/prokaryote_function_assigned.tsv""]"		
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.975; taxon prevalence cores 3; site samples 115.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	ST8	S__GCA_001643535.1		taxon_site	0.975253964279467	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.964; taxon prevalence cores 3; site samples 115.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	ST8	S__GCA_001510275.1		taxon_site	0.964355000124268	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.955; taxon prevalence cores 3; site samples 48.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	ST13	S__GCA_012974305.1		taxon_site	0.954533664423379	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.370; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCA_017368835.1		taxon_site	0.369984726560848	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.357; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCA_905478615.1		taxon_site	0.357055933504067	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.335; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCA_012974425.1		taxon_site	0.334959575389633	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.327; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCA_902514095.1		taxon_site	0.326980736138812	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.327; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__3300026264_29		taxon_site	0.326971889870457	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.321; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__IMGVR_UViG_3300009443_000008		taxon_site	0.321187891695582	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.316; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCA_002335045.1		taxon_site	0.316141631752423	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.312; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__Schulz_GVMAG_S_1102114_126		taxon_site	0.312331106498966	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.282; taxon prevalence cores 3; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__IMGVR_UViG_3300049783_000307		taxon_site	0.281845893319215	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.190; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__GCA_905181765.1		taxon_site	0.190065058378729	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.188; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__TARA_SOC_28_MAG_00016		taxon_site	0.187614695171074	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.185; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__3300026253_8		taxon_site	0.185404072348166	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.184; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__3300025894_53		taxon_site	0.184431600138244	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.183; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__GCA_002082295.1		taxon_site	0.18342768014883	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.183; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__3300025276_12		taxon_site	0.18257509372324	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.180; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__IMGVR_UViG_3300025632_000006		taxon_site	0.180378160918442	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.180; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__GCA_012964845.1		taxon_site	0.179980290231406	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.180; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__IMGVR_UViG_3300025637_000035		taxon_site	0.179656843715347	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.179; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__GCA_000383355.1		taxon_site	0.179388469199861	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
